tree,plot,time,ht,mortyr,invyr
p1t1,1,61,5.0789768771800885,93,TRUE
p1t1,1,71,16.734146190255473,93,TRUE
p1t1,1,81,24.90179202380936,93,TRUE
p1t1,1,91,32.16038872558527,93,TRUE
p1t1,1,101,NA,93,TRUE
p1t11,1,101,11.28948474209412,242,TRUE
p1t12,1,51,4.9484233113268035,80,TRUE
p1t12,1,61,19.655884661465144,80,TRUE
p1t12,1,71,32.09801828596824,80,TRUE
p1t12,1,81,NA,80,TRUE
p1t13,1,31,14.259775392853882,120,TRUE
p1t13,1,41,31.265723094326507,120,TRUE
p1t13,1,51,52.7648382232477,120,TRUE
p1t13,1,61,88.93217678921326,120,TRUE
p1t13,1,71,99.83870876015774,120,TRUE
p1t13,1,81,113.29114955134511,120,TRUE
p1t13,1,91,115.34798370017867,120,TRUE
p1t13,1,101,119.85316345146606,120,TRUE
p1t14,1,101,4.858965434940803,150,TRUE
p1t16,1,11,101.97126722653296,49,TRUE
p1t16,1,21,99.43354209906293,49,TRUE
p1t16,1,31,101.86833139000571,49,TRUE
p1t16,1,41,100.53965270643238,49,TRUE
p1t16,1,51,NA,49,TRUE
p1t18,1,1,36.86177348403788,108,TRUE
p1t18,1,11,56.92501031904254,108,TRUE
p1t18,1,21,78.37486534130213,108,TRUE
p1t18,1,31,98.6440098034852,108,TRUE
p1t18,1,41,101.71830789532387,108,TRUE
p1t18,1,51,101.58404843174114,108,TRUE
p1t18,1,61,100.00606648868073,108,TRUE
p1t18,1,71,105.16943639867736,108,TRUE
p1t18,1,81,106.00868699677538,108,TRUE
p1t18,1,91,102.88227099617949,108,TRUE
p1t18,1,101,105.61479470094744,108,TRUE
p1t2,1,101,12.181171530683862,231,TRUE
p1t20,1,11,93.95948399316394,56,TRUE
p1t20,1,21,95.42454230017978,56,TRUE
p1t20,1,31,93.9238998942131,56,TRUE
p1t20,1,41,94.50255212348704,56,TRUE
p1t20,1,51,96.83601065284198,56,TRUE
p1t20,1,61,NA,56,TRUE
p1t21,1,31,6.38710062766955,69,TRUE
p1t21,1,41,19.98708679730715,69,TRUE
p1t21,1,51,38.48657410822915,69,TRUE
p1t21,1,61,63.840324866085034,69,TRUE
p1t21,1,71,NA,69,TRUE
p1t22,1,11,89.61205070786752,20,TRUE
p1t22,1,21,NA,20,TRUE
p1t23,1,71,13.996711797615516,114,TRUE
